Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.875Ag0.125SnSe3,400,196,2571,0.78,0.00010 ,0.05 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.875Ag0.125SnSe3,500,229,2510,0.63,0.00013 ,0.10 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.875Ag0.125SnSe3,600,269,2724,0.51,0.00020 ,0.23 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.875Ag0.125SnSe3,700,312,2847,0.42,0.00028 ,0.46 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.875Ag0.125SnSe3,800,371,2694,0.32,0.00037 ,0.91 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.925Ag0.075SnSe3,300,100,13364,1.61,0.00013 ,0.02 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.925Ag0.075SnSe3,400,113,10727,1.09,0.00014 ,0.05 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.925Ag0.075SnSe3,500,127,9152,0.83,0.00015 ,0.09 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.925Ag0.075SnSe3,600,142,8576,0.68,0.00017 ,0.15 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.925Ag0.075SnSe3,700,165,8667,0.57,0.00024 ,0.29 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.925Ag0.075SnSe3,800,209,8788,0.55,0.00038 ,0.56 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.9Ag0.1SnSe3,300,117,5143,1.19,0.00007 ,0.02 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.9Ag0.1SnSe3,400,141,4439,0.97,0.00009 ,0.04 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.9Ag0.1SnSe3,500,164,4071,0.73,0.00011 ,0.07 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.9Ag0.1SnSe3,600,194,4133,0.63,0.00016 ,0.15 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.9Ag0.1SnSe3,700,237,3980,0.52,0.00022 ,0.30 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.9Ag0.1SnSe3,800,288,3612,0.41,0.00030 ,0.58 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2SnSe3,300,96,19970,2.33,0.00019 ,0.02 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2SnSe3,400,108,17545,1.38,0.00020 ,0.06 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2SnSe3,500,125,15909,1.06,0.00025 ,0.12 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2SnSe3,600,148,13697,0.90,0.00030 ,0.20 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2SnSe3,700,178,12121,0.80,0.00039 ,0.34 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2SnSe3,800,215,10333,0.74,0.00048 ,0.52 ,https://doi.org/10.1021/acsami.1c17460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.4Ga0.6Se6,328,-552,33,0.21,0.00001 ,0.02 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.4Ga0.6Se6,376,-530,132,0.23,0.00004 ,0.07 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.4Ga0.6Se6,474,-443,295,0.27,0.00006 ,0.10 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.4Ga0.6Se6,573,-324,660,0.28,0.00007 ,0.12 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.4Ga0.6Se6,671,-179,12046,0.30,0.00038 ,0.85 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.4Ga0.6Se6,710,-151,18020,0.29,0.00041 ,1.02 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.4Ga0.6Se6,720,-143,19670,0.31,0.00040 ,0.95 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.5Ga0.5Se6,313,-566,17,0.21,0.00001 ,0.01 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.5Ga0.5Se6,388,-521,66,0.22,0.00002 ,0.05 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.5Ga0.5Se6,477,-435,298,0.25,0.00006 ,0.11 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.5Ga0.5Se6,576,-364,2000,0.27,0.00026 ,0.54 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.5Ga0.5Se6,673,-176,13168,0.30,0.00041 ,0.90 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.5Ga0.5Se6,702,-161,16667,0.29,0.00043 ,1.14 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.5Ga0.5Se6,732,-130,23531,0.30,0.00040 ,0.91 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.6Ga0.4Se6,330,-559,70,0.21,0.00002 ,0.05 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.6Ga0.4Se6,426,-511,396,0.25,0.00010 ,0.18 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.6Ga0.4Se6,523,-418,792,0.26,0.00014 ,0.28 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.6Ga0.4Se6,601,-304,2343,0.30,0.00022 ,0.44 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.6Ga0.4Se6,640,-214,7459,0.30,0.00034 ,0.73 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.6Ga0.4Se6,691,-159,16568,0.30,0.00042 ,0.97 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.7Ga0.3Se6,313,-550,33,0.22,0.00001 ,0.01 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.7Ga0.3Se6,426,-443,132,0.24,0.00003 ,0.07 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.7Ga0.3Se6,474,-422,430,0.26,0.00008 ,0.14 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.7Ga0.3Se6,572,-297,1424,0.28,0.00013 ,0.26 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.7Ga0.3Se6,640,-192,7980,0.32,0.00029 ,0.58 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.7Ga0.3Se6,673,-158,16304,0.36,0.00041 ,0.78 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8Sn0.7Ga0.3Se6,694,-140,19210,0.38,0.00037 ,0.67 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8SnSe6,330,-543,99,0.21,0.00003 ,0.05 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8SnSe6,426,-441,495,0.26,0.00010 ,0.14 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8SnSe6,523,-343,1254,0.31,0.00015 ,0.25 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8SnSe6,601,-182,10693,0.36,0.00035 ,0.58 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8SnSe6,640,-145,19440,0.41,0.00041 ,0.65 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8SnSe6,650,-137,21890,0.43,0.00041 ,0.62 ,https://doi.org/10.1021/acsami.1c17548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se,309,-129,135738,1.04,0.00226 ,0.69 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se,334,-117,172131,1.14,0.00236 ,0.70 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se,362,-98,233115,1.31,0.00225 ,0.62 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se,377,-90,267541,1.33,0.00217 ,0.61 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se0.98,307,-131,143400,1.07,0.00246 ,0.71 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se0.98,332,-116,184930,1.19,0.00247 ,0.69 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se0.98,361,-98,253770,1.47,0.00243 ,0.60 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se0.98,376,-93,293100,1.63,0.00251 ,0.58 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.0025,305,-140,118033,0.91,0.00231 ,0.77 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.0025,332,-127,146560,1.00,0.00238 ,0.79 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.0025,361,-126,162800,1.05,0.00258 ,0.89 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.0025,376,-124,167213,1.09,0.00258 ,0.89 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.01,312,-142,118525,1.02,0.00239 ,0.73 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.01,334,-139,125902,1.07,0.00242 ,0.76 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.01,362,-137,135738,1.12,0.00256 ,0.82 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.01,377,-134,141200,1.14,0.00255 ,0.84 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.02,308,-141,125410,0.98,0.00249 ,0.80 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.02,334,-139,134200,1.06,0.00259 ,0.82 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.02,362,-136,144590,1.15,0.00266 ,0.84 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.02,377,-133,148033,1.18,0.00262 ,0.83 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.03,310,-143,108700,0.99,0.00223 ,0.70 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.03,332,-140,118530,1.07,0.00234 ,0.73 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.03,362,-137,131311,1.17,0.00247 ,0.77 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.03,377,-135,136800,1.17,0.00251 ,0.80 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.04,311,-145,106721,0.94,0.00225 ,0.77 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.04,334,-142,116066,1.02,0.00234 ,0.77 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.04,362,-141,126300,1.08,0.00253 ,0.85 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.04,377,-137,131311,1.11,0.00247 ,0.83 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.06,309,-143,110600,0.91,0.00226 ,0.79 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.06,334,-141,119016,1.00,0.00237 ,0.80 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.06,362,-138,129800,1.06,0.00246 ,0.84 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag2Se1.06,377,-136,134300,1.10,0.00248 ,0.85 ,https://doi.org/10.1021/acsami.1c18483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.7Se,295,15,979730,7.35,0.00023 ,0.01 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.7Se,374,20,763514,5.96,0.00031 ,0.02 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.7Se,473,30,547297,5.42,0.00048 ,0.04 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.7Se,572,41,424324,5.01,0.00070 ,0.08 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.7Se,672,60,287838,4.41,0.00105 ,0.16 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.8Se,295,17,882432,7.06,0.00025 ,0.01 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.8Se,374,22,691892,5.95,0.00034 ,0.02 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.8Se,473,34,493243,4.99,0.00056 ,0.05 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.8Se,572,45,383784,4.58,0.00078 ,0.10 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.8Se,672,61,258110,4.02,0.00096 ,0.16 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.95In0.05Se,295,195,14865,1.25,0.00062 ,0.16 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.95In0.05Se,374,219,12162,1.20,0.00063 ,0.20 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.95In0.05Se,473,178,21622,1.99,0.00070 ,0.17 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.95In0.05Se,572,272,6757,1.70,0.00058 ,0.20 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.95In0.05Se,672,325,2703,1.64,0.00047 ,0.19 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.95In0.05Se,770,337,1351,1.66,0.00039 ,0.18 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.95In0.05Se,870,329,2023,1.94,0.00043 ,0.19 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.97In0.03Se,295,96,107383,0.86,0.00098 ,0.34 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.97In0.03Se,374,120,71141,0.61,0.00103 ,0.63 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.97In0.03Se,473,139,47651,0.90,0.00092 ,0.49 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.97In0.03Se,572,174,34899,0.85,0.00106 ,0.73 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.97In0.03Se,672,206,26174,0.81,0.00111 ,0.93 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.97In0.03Se,770,237,20270,0.78,0.00114 ,1.14 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.97In0.03Se,870,256,17450,0.73,0.00114 ,1.38 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.99In0.01Se,295,89,125700,0.83,0.00100 ,0.36 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.99In0.01Se,374,117,74324,0.59,0.00102 ,0.67 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.99In0.01Se,473,130,55405,0.90,0.00094 ,0.50 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.99In0.01Se,572,165,41892,0.89,0.00114 ,0.70 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.99In0.01Se,672,194,31757,0.84,0.00119 ,0.97 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.99In0.01Se,770,224,25000,0.80,0.00126 ,1.21 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu1.99In0.01Se,870,246,20970,0.78,0.00126 ,1.45 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Se,295,51,260830,1.69,0.00068 ,0.12 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Se,374,50,246000,1.61,0.00062 ,0.14 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Se,473,66,212200,2.44,0.00092 ,0.18 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Se,572,84,162200,2.26,0.00115 ,0.29 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Se,672,105,131081,2.10,0.00143 ,0.46 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Se,770,127,104054,2.03,0.00167 ,0.64 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Se,870,148,81081,1.78,0.00176 ,0.86 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.2Se,295,77,145946,1.21,0.00087 ,0.21 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.2Se,374,106,85140,0.67,0.00095 ,0.53 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.2Se,473,113,74324,1.16,0.00096 ,0.39 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.2Se,572,142,55410,1.11,0.00111 ,0.57 ,https://doi.org/10.1021/acsami.1c18818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
